"date","sku","current_count","previous_day_count","daily_change","increased","decreased"
"20240502","一个月会员",3835,3886,-51,0,51
"20240502","一年会员",2977,2949,28,28,0
"20240502","两年会员",2557,2525,32,32,0
"20240502","其他活动兑换",206,214,-8,0,8
"20240502","抽奖兑换",505,485,20,20,0
"20240502","花瓣兑换",1216,1294,-78,0,78
"20240502","连续包季",15,15,0,0,0
"20240502","连续包年",60394,60426,-32,0,32
"20240502","连续包年首年",16687,16552,135,135,0
"20240502","连续包月",81152,81334,-182,0,182
"20240502","连续包月首月",1027,1047,-20,0,20
"20240503","一个月会员",3780,3835,-55,0,55
"20240503","一年会员",3001,2977,24,24,0
"20240503","两年会员",2591,2557,34,34,0
"20240503","其他活动兑换",197,206,-9,0,9
"20240503","抽奖兑换",486,505,-19,0,19
"20240503","花瓣兑换",1192,1216,-24,0,24
"20240503","连续包季",15,15,0,0,0
"20240503","连续包年",60346,60394,-48,0,48
"20240503","连续包年首年",16778,16687,91,91,0
"20240503","连续包月",80889,81152,-263,0,263
"20240503","连续包月首月",1014,1027,-13,0,13
"20240504","一个月会员",3714,3780,-66,0,66
"20240504","一年会员",3018,3001,17,17,0
"20240504","两年会员",2633,2591,42,42,0
"20240504","其他活动兑换",193,197,-4,0,4
"20240504","抽奖兑换",490,486,4,4,0
"20240504","花瓣兑换",1223,1192,31,31,0
"20240504","连续包季",15,15,0,0,0
"20240504","连续包年",60279,60346,-67,0,67
"20240504","连续包年首年",16900,16778,122,122,0
"20240504","连续包月",80792,80889,-97,0,97
"20240504","连续包月首月",997,1014,-17,0,17
"20240505","一个月会员",3696,3714,-18,0,18
"20240505","一年会员",3042,3018,24,24,0
"20240505","两年会员",2661,2633,28,28,0
"20240505","其他活动兑换",178,193,-15,0,15
"20240505","抽奖兑换",490,490,0,0,0
"20240505","花瓣兑换",1236,1223,13,13,0
"20240505","连续包季",15,15,0,0,0
"20240505","连续包年",60224,60279,-55,0,55
"20240505","连续包年首年",17036,16900,136,136,0
"20240505","连续包月",80719,80792,-73,0,73
"20240505","连续包月首月",983,997,-14,0,14
"20240506","一个月会员",3680,3696,-16,0,16
"20240506","一年会员",3043,3042,1,1,0
"20240506","两年会员",2661,2661,0,0,0
"20240506","其他活动兑换",163,178,-15,0,15
"20240506","抽奖兑换",477,490,-13,0,13
"20240506","花瓣兑换",1149,1236,-87,0,87
"20240506","连续包季",15,15,0,0,0
"20240506","连续包年",60203,60224,-21,0,21
"20240506","连续包年首年",17140,17036,104,104,0
"20240506","连续包月",80747,80719,28,28,0
"20240506","连续包月首月",977,983,-6,0,6
"20240507","一个月会员",3686,3680,6,6,0
"20240507","一年会员",3047,3043,4,4,0
"20240507","两年会员",2662,2661,1,1,0
"20240507","其他活动兑换",154,163,-9,0,9
"20240507","抽奖兑换",479,477,2,2,0
"20240507","花瓣兑换",1009,1149,-140,0,140
"20240507","连续包季",15,15,0,0,0
"20240507","连续包年",60172,60203,-31,0,31
"20240507","连续包年首年",17226,17140,86,86,0
"20240507","连续包月",80712,80747,-35,0,35
"20240507","连续包月首月",965,977,-12,0,12
"20240508","一个月会员",3702,3686,16,16,0
"20240508","一年会员",3046,3047,-1,0,1
"20240508","两年会员",2662,2662,0,0,0
"20240508","其他活动兑换",143,154,-11,0,11
"20240508","抽奖兑换",470,479,-9,0,9
"20240508","花瓣兑换",1042,1009,33,33,0
"20240508","连续包季",15,15,0,0,0
"20240508","连续包年",60146,60172,-26,0,26
"20240508","连续包年首年",17327,17226,101,101,0
"20240508","连续包月",80706,80712,-6,0,6
"20240508","连续包月首月",964,965,-1,0,1
"20240509","一个月会员",3706,3702,4,4,0
"20240509","一年会员",3049,3046,3,3,0
"20240509","两年会员",2662,2662,0,0,0
"20240509","其他活动兑换",133,143,-10,0,10
"20240509","抽奖兑换",479,470,9,9,0
"20240509","花瓣兑换",1035,1042,-7,0,7
"20240509","连续包季",15,15,0,0,0
"20240509","连续包年",60116,60146,-30,0,30
"20240509","连续包年首年",17436,17327,109,109,0
"20240509","连续包月",80696,80706,-10,0,10
"20240509","连续包月首月",955,964,-9,0,9
"20240510","一个月会员",3693,3706,-13,0,13
"20240510","一年会员",3046,3049,-3,0,3
"20240510","两年会员",2662,2662,0,0,0
"20240510","其他活动兑换",120,133,-13,0,13
"20240510","抽奖兑换",481,479,2,2,0
"20240510","花瓣兑换",1062,1035,27,27,0
"20240510","连续包季",19,15,4,4,0
"20240510","连续包年",60105,60116,-11,0,11
"20240510","连续包年首年",17531,17436,95,95,0
"20240510","连续包月",80709,80696,13,13,0
"20240510","连续包月首月",951,955,-4,0,4
"20240511","一个月会员",3749,3693,56,56,0
"20240511","一年会员",3045,3046,-1,0,1
"20240511","两年会员",2662,2662,0,0,0
"20240511","其他活动兑换",117,120,-3,0,3
"20240511","抽奖兑换",484,481,3,3,0
"20240511","花瓣兑换",1169,1062,107,107,0
"20240511","连续包季",93,19,74,74,0
"20240511","连续包年",60066,60105,-39,0,39
"20240511","连续包年首年",17690,17531,159,159,0
"20240511","连续包月",80650,80709,-59,0,59
"20240511","连续包月首月",946,951,-5,0,5
"20240512","一个月会员",3836,3749,87,87,0
"20240512","一年会员",3042,3045,-3,0,3
"20240512","两年会员",2663,2662,1,1,0
"20240512","其他活动兑换",114,117,-3,0,3
"20240512","抽奖兑换",485,484,1,1,0
"20240512","花瓣兑换",1225,1169,56,56,0
"20240512","连续包季",158,93,65,65,0
"20240512","连续包年",60025,60066,-41,0,41
"20240512","连续包年首年",17814,17690,124,124,0
"20240512","连续包月",80561,80650,-89,0,89
"20240512","连续包月首月",938,946,-8,0,8
"20240513","一个月会员",3854,3836,18,18,0
"20240513","一年会员",3040,3042,-2,0,2
"20240513","两年会员",2663,2663,0,0,0
"20240513","其他活动兑换",114,114,0,0,0
"20240513","抽奖兑换",492,485,7,7,0
"20240513","花瓣兑换",1170,1225,-55,0,55
